,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
3158,8073126,840,USA30967,30967,10 June 2021,2021,1,Violence against civilians,Attack,Sole Perpetrator (United States),3,Civilians (United States),,7,37,North America,United States,Florida,Palm Beach,Royal Palm Beach,26.7084,-80.2306,1,Florida Today; NBC6 (Miami),Subnational,"On 10 June 2021, a man, identified as Timothy J. Wall, opened fire on a crowd of people at a Publix in Royal Palm Beach (Florida), killing a grandmother and her one-year-old grandson, as well as himself. There is no known relationship between the attacker and the victims, and the motive remains unknown. Wall struggled with mental health issues, specifically schizophrenia, and police announced that he had made a Facebook post saying that he wanted to kill people and children prior to the shooting.",3,1623793004,USA
8289,8065473,840,USA30707,30707,03 June 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-) Marshals Service,1,Civilians (United States),African American Group (United States),7,17,North America,United States,Minnesota,Hennepin,Minneapolis,44.9833,-93.2666,1,WCCO Channel 4; Channel 5 (Twin Cities),Subnational,"Other: On 3 June 2021, members of the US Marshals task force shot and killed a Black man, Winston Smith, in Minneapolis (Minnesota). At about 2:10 p.m., the Marshals Service officials confronted Smith in a car, who was wanted on a state arrest warrant for being a felon in possession of a firearm, in a parking ramp off Lake Street between Fremont and Hennepin avenues. Officials claim that Smith did not surrender and pulled out a gun, which prompted multiple task force members to open fire. He died at the scene, and a woman, who was sitting with him in the car, was injured by flying glass. This incident sparked subsequent demonstrations in the area calling for releasing a video footage and justice for the victim.",1,1623185145,USA
10606,8065472,840,USA30705,30705,31 May 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,California,Santa Clara,San Jose,37.334,-121.891,1,KPIX5; ABC7 (San Francisco),Subnational,"Other: On 31 May 2021, police fatally shot Demetrius Stanley in San Jose (California) after he allegedly pointed a handgun at a plainclothes officer. A demonstration followed. Accounts of the events preceding Stanley's death differ.",1,1623185145,USA
21594,8073134,840,USA30976,30976,18 May 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,California,Stanislaus,Modesto,37.6428,-120.9918,1,KCRA3; Modesto Bee,Subnational,"Other: On 18 May 2021, police shot Xander Mann, a white teenager, in Modesto (California) during a car chase following an attempted traffic stop. Demonstrations followed.",1,1623793004,USA
33299,8004974,840,USA29693,29693,04 May 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States); Women (United States),7,17,North America,United States,Georgia,Camden,Woodbine,30.964000000000002,-81.7242,1,Brunswick News,Subnational,"Other: On 4 May 2021, Latoya Denise James, a 37-year-old Black woman, was fatally shot in Woodbine (Georgia) when police officers served a no-knock drug-related search warrant. Upon entering the house, police exchanged gunfire with her cousin, leading to the fatal shooting of James. The incident has been compared to the shooting of Breonna Taylor, and protests have followed demanding an independent investigation of the incident.",1,1621980620,USA
35021,7974815,840,USA29505,29505,02 May 2021,2021,1,Strategic developments,Other,Sole Perpetrator (United States),3,Police Forces of the United States (2021-) Federal Bureau of Investigation,,1,13,North America,United States,Virginia,Fairfax,McLean,38.9339,-77.1773,1,NBC News,National,"Other: On 2 May 2021, a man attempted to drive into the CIA headquarters at Langley in McLean (Virginia) and was shot by FBI agents after an hour-long standoff. It was reported that the man claimed to have explosives, although none were found. The man was transported to a hospital and later died.",1,1620770181,USA
36405,7974612,840,USA29600,29600,01 May 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,Tennessee,Williamson,Brentwood,36.0331,-86.7828,1,News 4 Nashville; Tennessean,Subnational,"Other: On 1 May 2021, police fatally shot a homeless man with schizophrenia in Brentwood (Tennessee) after he threatened to kill his mom and other people. The incident led to a protest speaking out against police management of mental health crises.",1,1620770180,USA
44188,7934217,840,USA28245,28245,21 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,California,San Diego,Escondido,33.1205,-117.0939,1,ABC10 (San Diego); San Diego Union-Tribune,Subnational,"Other: On 21 April 2021, a police officer fatally shot Steven Olson in Escondido (California) after Olson allegedly charged at the officer while holding a metal pole. Demonstrations against the shooting followed.",1,1620164854,USA
44380,7923257,840,USA28229,28229,21 April 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,North Carolina,Pasquotank,Elizabeth City,36.2946,-76.2511,1,NBC12; Charlotte Observer,Subnational-National,"On 21 April 2021, a North Carolina deputy shot and killed Andrew Brown Jr., a Black man, in Elizabeth City (North Carolina) as Brown was driving away after deputies were executing a search warrant at his home. 7 deputies have been placed on leave as a result. This event has sparked protests in the area calling for justice.",1,1619558727,USA
45221,7923264,840,USA28254,28254,20 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States); Women (United States),7,17,North America,United States,Ohio,Franklin,Columbus,39.9613,-82.9991,1,Twitter; USA Today; New York Times; Crowd Counting Consortium; Local12; Columbus Dispatch; ABC6 (Columbus); Fox10 (Mobile); Washington Post - Police Shooting Data; WTOL11; NPR; Journal Gazette (Fort Wayne); NBC4 (Columbus),Other-New media,"Other: On 20 April 2021, at around 4:45 p.m. a police officer shot and killed a 16-year-old Black girl, Ma'Khia Bryant, in Columbus (Ohio) while responding to a 911 call about a potential stabbing situation. Bryant was reportedly being threatened by older kids in the neighborhood before she moved towards one of them with a knife. The officer shot Bryant, who was then transported in critical condition to Mount Carmel East hospital where she was pronounced dead at 5:21 p.m., sparking subsequent protests demanding justice.",1,1619558727,USA
45874,7934216,840,USA28243,28243,19 April 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,California,Alameda,Oakland,37.8044,-122.2711,1,East Bay Times; CBS News,Subnational-National,"On 19 April 2021, an unarmed Latino man, Mario Gonzalez, was killed by police in Oakland (California) after officers pinned him to the ground for five minutes. Police responded to a call that a man was 'scaring' the caller's wife but 'not doing anything wrong' and found Gonzalez with two open bottles of alcohol. Body camera footage shows Gonzalez calmly talking to police before refusing to provide identification, leading officers to pin him facedown to the ground for five minutes during which time he became unresponsive and died. Demonstrators rallied later in the week against Gonzalez's killing.",1,1620164854,USA
48731,7898295,840,USA27818,27818,16 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,Oregon,Multnomah,Portland,45.5234,-122.6762,1,Twitter; Oregonian; Crowd Counting Consortium; KATU,Other-New media,"Other: On 16 April 2021, a police officer shot and killed a white man, Robert Douglas Delgado, in Lents Park in Portland (Oregon). Around 9 a.m., police were called to the scene for a man holding what appeared to be a handgun and doing quick draws. The handgun was later identified as a replica gun and a replica magazine was also found nearby. Police have not provided detailed descriptions of the interaction or what led to the shooting. This incident caused subsequent demonstrations against police brutality.",1,1618952549,USA
49547,7898818,840,USA27817,27817,15 April 2021,2021,1,Strategic developments,Other,Sole Perpetrator (United States),3,Civilians (United States),Labour Group (United States); Sikh Group (United States),7,37,North America,United States,Indiana,Marion,Indianapolis,39.7686,-86.15799999999999,1,Washington Post,National,"Other: On 15 April 2021, a gunman identified as Brandon Scott Hole shot and killed eight people, four of whom were Sikh, before then shooting himself at a FedEx facility in Indianapolis (Indiana). Several others were injured. The shooter was a former employee at the facility. While the motive is still unknown, it is reported that the shooter was a 'Brony' and visited white supremacist websites. This incident caused vigils and demonstrations against gun violence and racism.",9,1618952550,USA
49889,7923263,840,USA28240,28240,14 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Hawaii,Honolulu,Honolulu,21.3069,-157.8583,1,Hawaii News Now; Honolulu Star-Advertiser; News24 (South Africa); Honolulu Civil Beat,Subnational-International,"Other: On 14 April 2021, police fatally shot Lindani Myeni in Honolulu (Hawaii) after Myeni allegedly physically assaulted officers. Accounts differ, but police reportedly responded to a call of a robbery in progress after Myeni entered the house and took off his shoes. Myeni was unarmed and police failed to identify themselves before ordering him to back away and firing a taser to no effect at Myeni, followed by multiple gunshots. His widow filed a lawsuit for wrongful death that claimed that there was no evidence of robbery and accused the police of not providing sufficient information in the case. A demonstration against the death occurred the following week.",1,1619558727,USA
51309,7923756,840,USA28241,28241,12 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Georgia,DeKalb,Decatur,33.7748,-84.2963,1,WABE,Subnational,"Other: On 12 April 2021, police fatally shot Matthew Zadok Williams, a Black man who was having a mental health crisis, in Decatur (Georgia) after receiving a call about a 'seemingly homeless man with a knife.' Police kicked in Williams' door and allegedly told him to drop the knife he was holding 47 times. When Williams advanced on the officers with the knife, he was shot twice. He did not receive medical attention for an hour and eventually died of his injuries. Family members and local activists protested his death later the next week.",1,1619558728,USA
51706,7898290,840,USA27802,27802,12 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),Students (United States); African American Group (United States),7,17,North America,United States,Tennessee,Knox,Knoxville,35.9604,-83.9216,1,CNN; WVLT,Subnational-National,"Other: On 12 April 2021, police officers responded to a call about an armed individual, who was later found to be a student, at Austin-East High School in East Knoxville (Tennessee). After officers located the student in the school restroom and called for him to exit, a struggle ensued between the student and an officer. During the struggle, the student's gun was fired and officers returned fire. The student and one officer died as a result, though a preliminary report indicated that the bullet which struck the officer was not from the student's handgun. The incident marks the fifth student fatality at the high school since the start of 2021. Protests against the incident began the following day.",2,1618952549,USA
51873,7898593,840,USA27816,27816,12 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Ohio,Franklin,Westerville,40.1262,-82.9291,1,ABC6 (Columbus),Subnational,"Other: On 12 April 2021, police officers shot and killed a Black man, Miles Jackson, at a hospital in Westerville (Ohio). Police had responded to a call that a man appeared to have passed out on a bench in Westerville. After taking the man to the hospital, police learned that Jackson had warrants for his arrest and conducted a routine pat down when they found a gun in his waistband. After a struggle for a gun between the man and officers, police shot and killed Jackson. Jackson's death has spurred questions about the officer's tactics and has sparked protests demanding justice.",1,1618952549,USA
52357,7898284,840,USA27781,27781,11 April 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Minnesota,Hennepin,Brooklyn Center,45.0689,-93.3178,1,ABC News; Washington Post; Lantern; News 5 (Cleveland); KIMT3; Star Tribune (Minneapolis); CBS58; KARE11; 23WIFR; Crowd Counting Consortium; Repository; New York Times; Minnesota Public Radio; Washington Post - Police Shooting Data,Other-Subnational,"On 11 April 2021, a white Brooklyn Center female police officer shot a 20-year-old Black man, Daunte Wright, at a traffic stop in Brooklyn Center (Minnesota). At about 2 p.m., Wright was driving to his older brother's house with his girlfriend when police pulled him over for an expired tag. Officers learned he had an outstanding warrant and tried to handcuff him while he was standing outside his car. One of the officers pulled out her handgun and shot Wright, reportedly mistaking the handgun for her taser. Wright drove away from the scene but was fatally injured by the gunshot and died following a minor car crash. This incident caused subsequent demonstrations demanding justice for Daunte Wright.",1,1618952549,USA
